Time_Stamp,INV01.Upv,INV01.Ipv,INV01.Ppv,INV01.Pac,Solar_rad,Temp,TempAmb,INV01_Abnormality
2014-01-14 08:00:00,629.2666666666667,249.635,160.42683700000003,151.035,223.11666666666667,25.403333333333347,21.69333333333333,Normal
2014-01-14 09:00:00,654.1333333333333,504.19333333333344,333.01060333333334,319.22833333333324,495.6,37.07833333333335,24.71,Normal
2014-01-14 10:00:00,640.15,656.7966666666669,425.3732633333332,408.3583333333333,695.1166666666667,43.171666666666695,26.37500000000001,Normal
2014-01-14 11:00:00,613.3166666666667,721.0483333333335,450.18690333333336,431.98,774.6333333333333,49.320000000000014,28.83666666666668,Normal
2014-01-14 12:00:00,616.7333333333333,779.3766666666668,489.16184,469.4916666666666,886.45,52.17000000000002,28.50666666666668,Normal
2014-01-14 13:00:00,615.7,755.5983333333336,472.7170166666668,453.8083333333333,855.7666666666667,51.57333333333335,29.20000000000001,Normal
2014-01-14 14:00:00,617.5,646.9966666666668,405.86332333333337,389.62666666666667,722.9166666666666,46.09000000000002,28.455000000000005,Normal
2014-01-14 15:00:00,642.1666666666666,476.9333333333332,310.21481666666665,296.9316666666666,523.65,41.05833333333335,28.024999999999995,Normal
2014-01-14 16:00:00,646.55,267.7133333333334,175.01922733333333,165.28666666666672,275.0833333333333,34.09,27.421666666666663,Normal
2014-01-15 08:00:00,574.7592592592592,274.44259259259263,163.53741611111113,153.94259259259258,224.7037037037037,23.75777777777778,20.16148148148148,Normal
2014-01-15 09:00:00,638.95,491.0183333333336,318.9109533333334,305.5966666666666,470.8666666666667,33.63666666666666,23.075000000000006,Normal
2014-01-15 10:00:00,633.3833333333333,656.8950000000002,422.55381833333337,405.765,682.1833333333333,42.46500000000001,24.998333333333346,Normal
2014-01-15 11:00:00,626.7666666666667,757.5799999999999,481.74305,462.4733333333333,826.6833333333333,46.13333333333332,25.69666666666667,Normal
2014-01-15 12:00:00,626.3454545454546,785.6436363636366,500.9204563636364,480.8836363636364,903.5818181818182,44.760909090909095,25.688181818181825,Normal
2014-01-15 13:00:00,618.3666666666667,759.6816666666665,477.8524283333333,458.7383333333334,862.4333333333333,46.54333333333336,26.641666666666666,Normal
2014-01-15 14:00:00,638.0,621.5183333333334,403.7270116666666,387.5216666666666,714.2166666666667,45.31000000000002,27.758333333333336,Normal
2014-01-15 15:00:00,624.375,390.4553571428572,249.54522214285709,237.95178571428585,441.1785714285714,39.68357142857143,28.01214285714286,Normal
2014-01-15 16:00:00,641.7333333333333,203.61,131.7964635,123.22166666666668,221.35,32.890000000000015,26.941666666666677,Normal
2014-01-16 08:00:00,633.9,190.48500000000004,124.02677083333332,115.3983333333333,184.85,20.905,18.795,Normal
2014-01-16 09:00:00,645.9333333333333,409.195,268.29074166666675,256.03666666666663,412.9,32.60500000000002,22.535,Normal
2014-01-16 10:00:00,635.0,627.5833333333333,404.2922383333335,388.07833333333326,664.15,42.738333333333344,24.35166666666667,Normal
2014-01-16 11:00:00,638.8333333333334,736.8649999999998,477.7447916666667,458.7050000000002,825.45,44.205,24.796666666666678,Normal
2014-01-16 12:00:00,621.0333333333333,794.5249999999997,501.74131499999993,481.9116666666667,913.1333333333332,49.81333333333336,26.11833333333334,Normal
2014-01-16 13:00:00,625.0666666666667,750.8149999999999,476.4600666666667,457.4616666666669,853.6833333333333,47.53666666666666,27.185,Normal
2014-01-16 14:00:00,636.25,652.405,421.63541833333335,404.7783333333334,738.3833333333333,44.70166666666668,27.145,Normal
2014-01-16 15:00:00,653.35,473.0016666666664,311.916395,298.6033333333334,516.2166666666667,39.933333333333344,27.451666666666668,Normal
2014-01-16 16:00:00,643.7,270.8033333333334,177.60605499999994,168.02999999999994,272.51666666666665,34.67666666666669,27.376666666666672,Normal
2014-02-03 08:00:00,538.2666666666667,270.77833333333325,152.21711016666666,142.95999999999998,227.05,27.52833333333333,24.05166666666667,Normal
2014-02-03 09:00:00,626.2666666666667,484.0533333333333,309.05504666666656,295.8333333333333,464.7,38.86833333333335,27.99166666666668,Normal
2014-02-03 10:00:00,626.578947368421,658.6,419.7934877192982,403.001754385965,683.3508771929825,47.956315789473685,30.83877192982457,Normal
2014-02-03 11:00:00,613.0,777.0890909090908,484.2064381818182,464.8381818181819,843.5272727272727,55.1809090909091,33.1518181818182,Normal
2014-02-03 12:00:00,585.8,842.7116666666662,502.7659266666664,482.6283333333332,926.1666666666666,57.885000000000005,33.900000000000006,Normal
2014-02-03 13:00:00,608.8,765.6616666666665,473.7638883333332,454.8133333333335,852.9333333333333,53.61833333333334,33.08000000000001,Normal
2014-02-03 14:00:00,606.1166666666667,679.3383333333333,420.0694449999999,403.2666666666667,733.6666666666666,48.80500000000002,33.00500000000001,Normal
2014-02-03 15:00:00,629.8833333333333,480.245,307.72945500000003,294.5066666666668,509.6833333333333,45.43500000000002,32.93,Normal
2014-02-03 16:00:00,636.65,279.9183333333333,182.28483333333324,172.48833333333332,285.51666666666665,40.03666666666666,32.44333333333334,Normal
2014-02-05 08:00:00,589.6,216.32,132.76241533333325,123.98833333333332,191.85,26.201666666666668,23.598333333333333,Normal
2014-02-05 09:00:00,667.0833333333334,365.09,244.12781666666663,232.7733333333333,364.31666666666666,36.211666666666666,27.71500000000001,Normal
2014-02-05 10:00:00,628.6833333333333,452.0533333333333,291.542635,278.5766666666668,450.5833333333333,42.95333333333336,30.09,Normal
2014-02-05 11:00:00,609.271186440678,350.6610169491525,216.9540291525424,206.057627118644,379.6101694915254,39.653728813559326,29.467288135593225,Normal
